timestamp,open,high,low,close,volume
2/27/2017,137.14,137.435,136.28,136.93,20257426
2/28/2017,137.08,137.435,136.7,136.99,23482860
3/1/2017,137.89,140.15,137.595,139.79,36414585
3/2/2017,140,140.2786,138.76,138.96,26210984
3/3/2017,138.78,139.83,138.59,139.78,21571121
3/6/2017,139.365,139.77,138.5959,139.34,21750044
3/7/2017,139.06,139.98,138.79,139.52,17446297
3/8/2017,138.95,139.8,138.82,139,18707236
3/9/2017,138.74,138.79,137.05,138.68,22155904
3/10/2017,139.25,139.3571,138.64,139.14,19612801
3/13/2017,138.85,139.43,138.82,139.2,17421717
3/14/2017,139.3,139.65,138.84,138.99,15309065
3/15/2017,139.41,140.7501,139.025,140.46,25691774
3/16/2017,140.72,141.02,140.26,140.69,19231998
3/17/2017,141,141,139.89,139.99,43884952
3/20/2017,140.4,141.5,140.23,141.46,21542038
3/21/2017,142.11,142.8,139.73,139.84,39529912
3/22/2017,139.845,141.6,139.76,141.42,25860165
3/23/2017,141.26,141.5844,140.61,140.92,20346301
3/24/2017,141.5,141.74,140.35,140.64,22395563
3/27/2017,139.39,141.22,138.62,140.88,23575094
3/28/2017,140.91,144.04,140.62,143.8,33374805
3/29/2017,143.68,144.49,143.19,144.12,29189955
3/30/2017,144.19,144.5,143.5,143.93,21207252
3/31/2017,143.72,144.27,143.01,143.66,19661651
4/3/2017,143.71,144.12,143.05,143.7,19985714
4/4/2017,143.25,144.89,143.17,144.77,19891354
4/5/2017,144.22,145.46,143.81,144.02,27717854
4/6/2017,144.29,144.52,143.45,143.66,21149034
4/7/2017,143.73,144.18,143.27,143.34,16658543
4/10/2017,143.6,143.8792,142.9,143.17,18933397
4/11/2017,142.94,143.35,140.06,141.63,30379376
4/12/2017,141.6,142.15,141.01,141.8,20350000
4/13/2017,141.91,142.38,141.05,141.05,17822880
4/17/2017,141.48,141.88,140.87,141.83,16582094
4/18/2017,141.41,142.04,141.11,141.2,14697544
4/19/2017,141.88,142,140.45,140.68,17328375
4/20/2017,141.22,142.92,141.16,142.44,23319562
4/21/2017,142.44,142.68,141.85,142.27,17320928
4/24/2017,143.5,143.95,143.18,143.64,17116599
4/25/2017,143.91,144.9,143.87,144.53,18216472
4/26/2017,144.47,144.6,143.3762,143.68,19614287
4/27/2017,143.9225,144.16,143.31,143.79,13948980
4/28/2017,144.09,144.3,143.27,143.65,20247187
5/1/2017,145.1,147.2,144.96,146.58,32818760
5/2/2017,147.54,148.09,146.84,147.51,39752670
5/3/2017,145.59,147.49,144.27,147.06,45142806
5/4/2017,146.52,147.14,145.81,146.53,23275690
5/5/2017,146.76,148.98,146.76,148.96,26787359
5/8/2017,149.03,153.7,149.03,153.01,48339210
5/9/2017,153.87,154.88,153.45,153.99,35942435
5/10/2017,153.63,153.94,152.11,153.26,25670456
5/11/2017,152.45,154.07,152.31,153.95,25596687
5/12/2017,154.7,156.42,154.67,156.1,32221756
5/15/2017,156.01,156.65,155.05,155.7,25700983
5/16/2017,155.94,156.06,154.72,155.47,19904679
5/17/2017,153.6,154.57,149.71,150.25,49482818
5/18/2017,151.27,153.34,151.13,152.54,33159664
5/19/2017,153.38,153.98,152.63,153.06,26733798
5/22/2017,154,154.58,152.91,153.99,22340069
5/23/2017,154.9,154.9,153.31,153.8,19430358
5/24/2017,153.84,154.17,152.67,153.34,19118319
5/25/2017,153.73,154.35,153.03,153.87,19044463
5/26/2017,154,154.24,153.31,153.61,21632202
5/30/2017,153.42,154.43,153.33,153.67,20034934
5/31/2017,153.97,154.17,152.38,152.76,23162873
6/1/2017,153.17,153.33,152.22,153.18,16180143
6/2/2017,153.58,155.45,152.89,155.45,27285861
6/5/2017,154.34,154.45,153.46,153.93,24803858
6/6/2017,153.9,155.81,153.78,154.45,26249630
6/7/2017,155.02,155.98,154.48,155.37,20678772
6/8/2017,155.25,155.54,154.4,154.99,20771367
6/9/2017,155.19,155.19,146.02,148.98,64882700
6/12/2017,145.74,146.09,142.51,145.42,71563614
6/13/2017,147.16,147.45,145.15,146.59,33749154
6/14/2017,147.5,147.5,143.84,145.16,31224203
6/15/2017,143.32,144.4798,142.21,144.29,31348832
6/16/2017,143.78,144.5,142.2,142.27,49180748
6/19/2017,143.66,146.74,143.66,146.34,31449132
