open,high,low,close,volume,SMA,MACD,MACD_signal,MACD_histogram,Bollinger_Upper,Bollinger_Lower,k_values,d_values,return_pct,day_of_week
-0.8490259513846958,-0.8624699173507332,-0.8351622186510617,-0.8580529224076164,-0.31434328323184935,-0.8497256870576101,0.5510434554650901,0.5622316507965656,-0.18642381552904067,-0.9272734298548353,-0.7411468219936161,0.8659372991827168,0.82284365255757,-0.00044978710475238916,-0.5
-0.8435815696925384,-0.8449549691649818,-0.8290209516699437,-0.8400117782898027,-0.0713346000013765,-0.8430191240428893,0.558419430818192,0.5637416304945743,-0.1526367376547843,-0.9059240067676358,-0.7594751441145007,0.8659372991827168,0.82284365255757,0.4106283002169902,0.0
-0.829399291457412,-0.8441253476781724,-0.8210270119682652,-0.8453596888675832,-0.26307728268440106,-0.841141049417742,0.561961635575562,0.5656627340682019,-0.14324275243637427,-0.9066172355755318,-0.754056140638153,0.8659372991827168,0.82284365255757,-0.13148613851748348,0.5
-0.8375994712900443,-0.8470193461150519,-0.8221935096071367,-0.8400762109473663,-0.35026804787619037,-0.8388482579983985,0.5667356222982093,0.5681607201841747,-0.13006126044106592,-0.9049302570973433,-0.7514469401203121,0.8659372991827168,0.82284365255757,0.11182493457433856,1.0
-0.8336674178457082,-0.8474064167931901,-0.822153025277317,-0.8429112478801656,-0.3469057862576015,-0.8378410886410641,0.5691551078363859,0.5706462020594588,-0.1303469763995984,-0.9052907280016285,-0.7485587086701158,0.8659372991827168,0.82284365255757,-0.0741510820297097,-1.0
-0.8357174628038664,-0.8460516694197067,-0.8208211594437584,-0.8417514600440203,-0.42778037115846335,-0.8369388680234855,0.5713089962557648,0.5730682102937862,-0.13179731893688884,-0.9053632004587261,-0.7463675051268084,0.8659372991827168,0.82284365255757,0.017094409244530984,-0.5
-0.8364568232805791,-0.847212881454121,-0.8206153069192518,-0.8451019582373287,-0.4040852240667993,-0.8367243155595492,0.5714162677398231,0.5750274128719177,-0.14237220828564268,-0.9061424764543518,-0.7446412464097454,0.8659372991827168,0.82284365255757,-0.08605639271678316,0.0
-0.8378683296452125,-0.85372857120278,-0.8327606058651494,-0.8471638032793645,-0.3392789998717234,-0.8368102211812041,0.570437122603556,0.5763976525639004,-0.15582973039706552,-0.9069808612891611,-0.743513052651678,0.8659372991827168,0.82284365255757,-0.056770868920539286,0.5
-0.8344403856168171,-0.8500701081765776,-0.8218504220662922,-0.844199901031438,-0.38706814720894755,-0.836551911863676,0.5706392492526756,0.5775345366344317,-0.16116179547172907,-0.9073751358905913,-0.7422949666046159,0.8659372991827168,0.82284365255757,0.0587172194468292,1.0
-0.8371289691684999,-0.8495998173026397,-0.8206153069192518,-0.8438133050860563,-0.42824227035859364,-0.836301789163384,0.5707280089945499,0.5784619130811096,-0.1659489451323015,-0.907673635604549,-0.7412471925587829,0.8659372991827168,0.82284365255757,-0.0005928278335022418,-1.0
-0.8341043126728567,-0.8481805581494665,-0.8204780719029139,-0.8451663908948922,-0.45576528943549577,-0.8362177686180664,0.5700272581205559,0.5790627384486523,-0.1734104821345864,-0.9080813066314312,-0.7404090699322563,0.8659372991827168,0.82284365255757,-0.04046160735588858,-0.5
-0.833364952196144,-0.8410836172658034,-0.8192086480017889,-0.8356947902330399,-0.27283410464126245,-0.8353427617555857,0.5730694880534358,0.5801558631811354,-0.16216167555452138,-0.9067988923322065,-0.7404232754312596,0.8659372991827168,0.82284365255757,0.20791495848067532,0.0
-0.8245598410643831,-0.8393424443319786,-0.8107343857429281,-0.8342128391090767,-0.394224070769046,-0.8344759580824409,0.575796243467198,0.5815793157945293,-0.15461384042616028,-0.9055236103152863,-0.74044508191489,0.8659372991827168,0.82284365255757,0.02419888122825061,0.5
-0.8226778325782051,-0.8394714678913581,-0.8132732335451779,-0.8387231251385302,0.0690460567105763,-0.8340565016677391,0.5758347530599099,0.5827258306707324,-0.1609417361380615,-0.9053635052681747,-0.7397328525542557,0.5248471732166544,0.82284365255757,-0.11171454340096301,1.0
-0.8267107079057292,-0.8362458789068734,-0.8109402382674348,-0.8292515244766779,-0.3508145659574511,-0.8330362983540157,0.5793899933876242,0.5843587867195422,-0.149826786469389,-0.9034388550253744,-0.7404285733750067,0.988449783052592,0.82284365255757,0.20636220123866805,-1.0
-0.8152170132222855,-0.8278593475472135,-0.8143711136758806,-0.8396896150019845,-0.012792409218450063,-0.8328136058905774,0.5776525554257742,0.585315369001347,-0.16528160567637942,-0.9035861825652851,-0.7396830148208682,-0.03356140509424921,0.5097263254226423,-0.24482392939092415,-0.5
-0.830441117583689,-0.8356007611099766,-0.8141652611513738,-0.8295092551069325,-0.2696697568703454,-0.8319916070010159,0.5800807225147699,0.5865694755868363,-0.15848331670149815,-0.9022679257613412,-0.7398759110390392,0.5216665862409637,0.5086191566320557,0.2227606480417313,0.0
-0.8209302532696114,-0.8357013994862925,-0.8083327729570159,-0.8327308879851135,-0.37328445871034804,-0.8314432245934519,0.5803547500673473,0.587627928326067,-0.1629539141264481,-0.9017353958883974,-0.7394559356040786,0.3459615256918438,0.2849676884266821,-0.08212064339539407,0.5
-0.8193171031386017,-0.8346975961943208,-0.8101168281694078,-0.8345350023968949,-0.3347754075037808,-0.8310492124572514,0.5795080473567643,0.5883042315739754,-0.1716858484304373,-0.9015229631765359,-0.73888502676939,0.24756669178433643,0.3828289503257847,-0.05029237398453801,1.0
