open,high,low,close,volume,SMA,MACD,MACD_signal,MACD_histogram,Bollinger_Upper,Bollinger_Lower,k_values,d_values,return_pct,day_of_week
137.08,137.435,136.7,136.99,23482860.0,136.96,0.004786324786323348,0.0009572649572646696,0.0038290598290586786,137.0448528137424,136.8751471862576,93.03797468354405,89.43216856215246,0.00043818009201790353,1
137.89,140.15,137.595,139.79,36414585.0,137.90333333333334,0.23184357269826705,0.047134526505465145,0.1847090461928019,141.17168663940862,134.63498002725805,93.03797468354405,89.43216856215246,0.020439448134900173,2
140.0,140.2786,138.76,138.96,26210984.0,138.16750000000002,0.34088450969255746,0.1058845231428836,0.23499998654967386,141.03768582441393,135.2973141755861,93.03797468354405,89.43216856215246,-0.0059374776450388245,3
138.78,139.83,138.59,139.78,21571121.0,138.49,0.48784382489100153,0.1822763834925072,0.30556744139849434,141.3637780011685,135.61622199883152,93.03797468354405,89.43216856215246,0.005900978698906156,4
139.365,139.77,138.5959,139.34,21750044.0,138.63166666666666,0.5623237006175543,0.25828584691751666,0.30403785370003766,141.29409913842375,135.96923419490957,93.03797468354405,89.43216856215246,-0.0031478036915152385,0
139.06,139.98,138.79,139.52,17446297.0,138.75857142857143,0.6286276066640824,0.3323541988668298,0.29627340779725253,141.2800902452486,136.23705261189426,93.03797468354405,89.43216856215246,0.001291804219893944,1
138.95,139.8,138.82,139.0,18707236.0,138.78875,0.6319297825504862,0.39226931560356115,0.239660466946925,141.1294565477879,136.4480434522121,93.03797468354405,89.43216856215246,-0.0037270642201835402,2
138.74,138.79,137.05,138.68,22155904.0,138.77666666666667,0.6017884128598041,0.43417313505480976,0.16761527780499436,140.96739713845,136.58593619488335,93.03797468354405,89.43216856215246,-0.002302158273381205,3
139.25,139.3571,138.64,139.14,19612801.0,138.81300000000002,0.6080105487105527,0.46894061778595836,0.13906993092459435,140.8911840363377,136.73481596366233,93.03797468354405,89.43216856215246,0.003316988751081551,4
138.85,139.43,138.82,139.2,17421717.0,138.8481818181818,0.6107428711154625,0.49730106845185923,0.11344180266360332,140.83348417665152,136.8628794597121,93.03797468354405,89.43216856215246,0.0004312203536007697,0
139.3,139.65,138.84,138.99,15957077.51,138.85999999999999,0.5891714100809509,0.5156751367776775,0.07349627330327335,140.75468155155903,136.96531844844094,93.03797468354405,89.43216856215246,-0.0015086206896550713,1
139.41,140.7501,139.025,140.46,25691774.0,138.9830769230769,0.6828214459076776,0.5491043986036775,0.13371704730400003,141.0025716555184,136.9635821906354,93.03797468354405,89.43216856215246,0.01057630045326996,2
140.72,141.02,140.26,140.69,19231998.0,139.105,0.7667601184681132,0.5926355425765647,0.1741245758915485,141.2490830925345,136.96091690746547,93.03797468354405,89.43216856215246,0.0016374768617399837,3
141.0,141.0,139.89,139.99,43884952.0,139.16400000000002,0.7679455728278128,0.6276975486268144,0.14024802420099847,141.28003132572007,137.04796867427996,76.15740740740749,89.43216856215246,-0.004975478001279288,4
140.4,141.5,140.23,141.46,21542038.0,139.3075,0.8773877883765522,0.677635596576762,0.1997521917997902,141.65206534706687,136.96293465293314,99.1011235955058,89.43216856215246,0.010500750053575203,0
142.11,142.8,139.73,139.84,39529912.0,139.33882352941177,0.8239036234830905,0.7068892019580277,0.1170144215250628,141.6235870002435,137.05406005858003,48.521739130434646,74.59342337778264,-0.011452000565530973,1
139.845,141.6,139.76,141.42,25860165.0,139.45444444444445,0.898650746447089,0.74524151085584,0.15340923559124897,141.8784054441523,137.0304834447366,75.99999999999959,74.54095424198,0.01129862700228812,2
141.26,141.5844,140.61,140.92,20346301.0,139.53157894736842,0.9070862331402623,0.7776104553127245,0.12947577782753772,141.98134322771048,137.08181466702635,67.30434782608654,63.94202898550693,-0.0035355678121906653,3
141.5,141.74,140.35,140.64,22395563.0,139.587,0.8810218852999867,0.798292741310177,0.08272914398980968,142.02240637482257,137.1515936251774,62.434782608695215,68.57971014492712,-0.001986942946352599,4
139.39,141.22,138.62,140.88,23575094.0,139.7845,0.8697062636553312,0.8125754457792078,0.057130817876123396,141.93686931873012,137.6321306812699,66.60869565217364,65.44927536231847,0.0017064846416383617,0
140.91,144.04,140.62,143.8,33374805.0,140.125,1.0838640385644567,0.8668331643362576,0.2170308742281991,142.55297294704437,137.69702705295563,96.56652360515048,75.20333395533977,0.020726859738784853,1
143.68,144.49,143.19,144.12,29189955.0,140.3415,1.2648268076406737,0.9464318929971408,0.31839491464353287,143.34717375755295,137.33582624244704,93.69676320272565,85.62399415334993,0.0022253129346314626,2
144.19,144.5,143.5,143.93,21207252.0,140.59,1.3770360790520613,1.032552730208125,0.3444833488439363,143.91915668158273,137.26084331841727,90.30612244897969,93.52313641895194,-0.0013183458229253375,3
143.72,144.27,143.01,143.66,19661651.0,140.78400000000002,1.4277181454962715,1.1115858132657543,0.3161323322305172,144.35763680303427,137.21036319696577,85.71428571428564,89.90572378866368,-0.001875911901618954,4
143.71,144.12,143.05,143.7,19985714.0,141.002,1.4543469081463343,1.1801380322418704,0.27420887590446386,144.73320891937198,137.27079108062804,86.39455782312905,87.47165532879812,0.0002784351942084484,0
143.25,144.89,143.17,144.77,19891354.0,141.2645,1.5439922702437343,1.2529088798422432,0.2910833904014911,145.28425372379965,137.24474627620035,98.08612440191425,90.06498931310965,0.007446068197634048,1
144.22,145.46,143.81,144.02,27717854.0,141.5155,1.536802827211858,1.3096876693161663,0.2271151578956916,145.56668033482399,137.46431966517602,78.94736842105267,87.80935021536533,-0.0051806313462734455,2
